Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw	V1(DNA VOLUME)ul 	V_Star(H20 VOLUME)ul 	Target H20 Volume ul 	Target DNA Concentration ng/ul 
1	Default	06/20/22	09:42:00 AM	3.91	0.078	0.036	2.14	-3.5	50	230	-0.022	0.009	12.7877237851662	-2.78772378516624	10	5
2	Default	06/20/22	09:46:00 AM	3.81	0.076	0.038	2	-3.22	50	230	-0.024	0.007	13.1233595800525	-3.12335958005249		
3	Default	06/20/22	09:47:00 AM	2.26	0.045	0.021	2.15	-0.88	50	230	-0.051	0.006	22.1238938053097	-12.1238938053097		
4	Default	06/20/22	09:49:00 AM	12.64	0.253	0.131	1.93	5.02	50	230	0.05	0.045	3.95569620253165	6.04430379746835		
5	Default	06/20/22	09:50:00 AM	2.04	0.041	0.008	5.16	-1	50	230	-0.041	0.005	24.5098039215686	-14.5098039215686		
6	Default	06/20/22	09:51:00 AM	33.22	0.664	0.352	1.89	3.01	50	230	0.221	0.02	1.50511739915713	8.49488260084287		
7	Default	06/20/22	09:52:00 AM	5.24	0.105	0.062	1.68	7.87	50	230	0.013	0.026	9.54198473282443	0.458015267175574		
8	Default	06/20/22	09:53:00 AM	3.32	0.066	0.044	1.53	-8.48	50	230	-0.008	0.028	15.0602409638554	-5.06024096385542		
9	Default	06/20/22	09:54:00 AM	3.99	0.08	0.055	1.46	29.92	50	230	0.003	0.017	12.531328320802	-2.531328320802		
10	Default	06/20/22	09:55:00 AM	2.92	0.058	0.028	2.07	-2.27	50	230	-0.026	0.011	17.1232876712329	-7.12328767123288		
11	Default	06/20/22	09:56:00 AM	2.71	0.054	0.027	1.99	-2.15	50	230	-0.025	0.016	18.450184501845	-8.45018450184502		
12	Default	06/20/22	09:57:00 AM	3.47	0.069	0.048	1.45	-3.56	50	230	-0.019	0.009	14.4092219020173	-4.40922190201729		
